contig	genus	size	category-pident_90	rep_type(s)	relaxase_type(s)	mpf_type	orit_type(s)	predicted_mobility	AMR_type
GCF_048571775.1-NZ_CP074989.1	Escherichia	88215	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_033802465.1-NZ_CP138410.1	Escherichia	88209	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_030553115.1-NZ_CP130708.1	Escherichia	88205	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_900093485.1-NZ_LT599827.1	Escherichia	88196	typical plasmid	IncN	MOBF	MPF_T	MOBF	conjugative	AMR
GCF_018460065.1-NZ_CP075376.1	Escherichia	88195	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_041344775.1-NZ_CP158149.1	Escherichia	88172	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_037277815.1-NZ_CP147568.1	Escherichia	88168	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_019443605.1-NZ_CP049844.1	Escherichia	88163	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_030036835.1-NZ_CP124496.1	Escherichia	88152	typical plasmid	IncFIB,IncFII,rep_cluster_2131	MOBP	MPF_F	MOBF	conjugative	non-AMR
GCF_048163865.1-NZ_CP182339.1	Escherichia	88133	typical plasmid	IncFIA,IncFII,rep_cluster_2313	MOBF,MOBF	MPF_F	MOBF	conjugative	AMR
GCF_015139735.1-NZ_AP022550.1	Escherichia	88121	typical plasmid	IncFIA,IncFII	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_024585845.1-NZ_CP074021.1	Escherichia	88082	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_013085905.2-NZ_CP054414.1	Escherichia	88052	typical plasmid	IncFIB,IncFII,IncQ1,rep_cluster_2131	MOBP	-	-	mobilizable	AMR
GCF_051307235.1-NZ_CP195558.1	Escherichia	88034	typical plasmid	rep_cluster_1704	-	-	-	non-mobilizable	non-AMR
GCF_001663475.1-NZ_CP015161.1	Escherichia	88023	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_005221905.1-NZ_CP028611.1	Escherichia	88018	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_003813145.1-NZ_CP033883.1	Escherichia	88005	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_002056065.1-NZ_CP020059.1	Escherichia	87982	typical plasmid	IncFII,IncN	MOBF	MPF_T	MOBF	conjugative	AMR
GCF_022353625.1-NZ_CP054966.1	Escherichia	87961	typical plasmid	IncFIA,IncFIB,IncFII,IncFII	-	-	-	non-mobilizable	AMR
GCF_036501105.1-NZ_AP027678.1	Escherichia	87954	typical plasmid	rep_cluster_1704	-	-	-	non-mobilizable	non-AMR
GCF_029719885.1-NZ_CP099330.1	Escherichia	87952	typical plasmid	rep_cluster_1704	-	-	-	non-mobilizable	non-AMR
GCF_016403625.2-NZ_CP075700.1	Escherichia	87927	typical plasmid	IncFIA,IncFIB,IncFIC	MOBF	MPF_F	-	conjugative	non-AMR
GCF_013745515.1-NZ_CP056166.1	Escherichia	87925	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	-	conjugative	non-AMR
GCF_027944775.1-NZ_CP116117.1	Escherichia	87921	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_050516385.1-NZ_CP191572.1	Escherichia	87921	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_023539015.1-NZ_CP097427.1	Escherichia	87915	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_023539035.1-NZ_CP097431.1	Escherichia	87915	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_024224055.1-NZ_CP100488.1	Escherichia	87908	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_014168595.1-NZ_AP021916.1	Escherichia	87852	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_036884785.1-NZ_CP145705.1	Escherichia	87838	typical plasmid	IncK2/Z	MOBP,MOBP,MOBP	-	MOBP	mobilizable	non-AMR
GCF_038096105.1-NZ_CP150997.1	Escherichia	87837	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_029227895.1-NZ_CP074368.1	Escherichia	87829	typical plasmid	IncFIB,IncFIC,rep_cluster_2244	MOBF	-	-	mobilizable	non-AMR
GCF_904711295.1-NZ_LR882054.1	Escherichia	87822	typical plasmid	IncHI1B	-	-	-	non-mobilizable	non-AMR
GCF_000220005.1-NZ_AGTD01000003.1	Escherichia	87792	typical plasmid	IncFIA,IncFIC,IncX1	-	MPF_F	MOBF	mobilizable	non-AMR
GCF_002310715.1-NZ_CP023385.1	Escherichia	87770	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_022369015.1-NZ_CP058720.1	Escherichia	87766	typical plasmid	IncY	-	-	MOBF	mobilizable	AMR
GCF_032375225.1-NZ_CP135660.1	Escherichia	87747	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_030038915.1-NZ_CP124431.1	Escherichia	87732	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_030419025.1-NZ_CP118999.1	Escherichia	87718	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_003018555.1-NZ_CP027578.1	Escherichia	87714	typical plasmid	IncFIB,IncI-gamma/K1	MOBP	-	-	mobilizable	non-AMR
GCF_002164865.2-NZ_CP034964.1	Escherichia	87704	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_051397835.1-NZ_CP185936.1	Escherichia	87663	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_024585505.1-NZ_CP073947.1	Escherichia	87651	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_027944635.1-NZ_CP116086.1	Escherichia	87637	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_012974525.1-NZ_CP052880.1	Escherichia	87627	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_027944615.1-NZ_CP116076.1	Escherichia	87625	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_038096115.1-NZ_CP150992.1	Escherichia	87621	typical plasmid	rep_cluster_1704	-	-	-	non-mobilizable	non-AMR
GCF_004771235.1-NZ_CP038793.1	Escherichia	87604	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_022558645.1-NZ_CP060869.1	Escherichia	87603	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_024499265.1-NZ_CP101860.1	Escherichia	87554	typical plasmid	IncI2	MOBP	MPF_T	-	conjugative	non-AMR
GCF_040279995.2-NZ_CP180602.1	Escherichia	87534	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_030007975.1-NZ_CP124820.1	Escherichia	87527	typical plasmid	IncFIB	MOBF	MPF_Unknown	MOBF	conjugative	non-AMR
GCF_002863885.1-NZ_CP023674.1	Escherichia	87524	typical plasmid	IncFIB,IncFIC,rep_cluster_2232	MOBF	MPF_F	-	conjugative	non-AMR
GCF_002246595.2-NZ_CP041112.1	Escherichia	87516	typical plasmid	IncY	MOBC	MPF_T	-	conjugative	AMR
GCF_003571785.1-NZ_CP032260.1	Escherichia	87423	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_028551195.1-NZ_CP116973.1	Escherichia	87391	typical plasmid	IncY	-	-	MOBF	mobilizable	AMR
GCF_040250335.1-NZ_CP158186.1	Escherichia	87368	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_004141955.1-NZ_CP035469.1	Escherichia	87354	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_002854065.1-NZ_CP024152.1	Escherichia	87351	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_017161345.1-NZ_CP034108.1	Escherichia	87297	typical plasmid	IncFIA,IncFII	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_030013435.1-NZ_CP122713.1	Escherichia	87255	typical plasmid	IncFIA,IncFIC	MOBF,MOBP	MPF_F	MOBF	conjugative	non-AMR
GCF_021534925.1-NZ_CP091023.1	Escherichia	87231	typical plasmid	IncFIA,IncFII	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_002278115.2-NZ_CP023145.1	Escherichia	87173	typical plasmid	IncFIB,IncFII,IncQ1	MOBF,MOBF	MPF_T	-	conjugative	AMR
GCF_014169615.1-NZ_AP022224.1	Escherichia	87171	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_048163035.1-NZ_CP182385.1	Escherichia	87170	typical plasmid	IncFIA,IncFII,IncN	MOBF,MOBQ	MPF_F	MOBP	conjugative	AMR
GCF_013201235.1-NZ_CP053737.1	Escherichia	87125	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_000520035.1-NZ_CP006028.1	Escherichia	87120	typical plasmid	IncFIB,IncI-gamma/K1	MOBP	-	MOBP	mobilizable	non-AMR
GCF_000671295.1-NZ_CP007138.1	Escherichia	87120	typical plasmid	IncFIB,IncI-gamma/K1	MOBP	-	MOBP	mobilizable	non-AMR
GCF_029720005.1-NZ_CP099341.1	Escherichia	87118	typical plasmid	IncFII,rep_cluster_2232	MOBF,MOBF,MOBP	MPF_Unknown	MOBP	conjugative	non-AMR
GCF_030419045.1-NZ_CP119002.1	Escherichia	87118	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_002011945.1-NZ_CP018946.1	Escherichia	87114	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_029855145.1-NZ_CP123233.1	Escherichia	87114	typical plasmid	IncFIB,IncFII,rep_cluster_2131	MOBP	-	-	mobilizable	AMR
GCF_022558945.1-NZ_CP060951.1	Escherichia	87111	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_022558925.1-NZ_CP060947.1	Escherichia	87111	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_030515255.1-NZ_CP082063.1	Escherichia	87055	typical plasmid	IncFIB,IncFII,rep_cluster_2131	MOBP	-	-	mobilizable	AMR
GCF_025999655.1-NZ_AP026963.1	Escherichia	87025	typical plasmid	IncFIA,IncFIB,IncX1	-	-	-	non-mobilizable	AMR
GCF_045037505.1-NZ_CP173590.1	Escherichia	87019	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_051397845.1-NZ_CP185942.1	Escherichia	87008	typical plasmid	IncFIA,IncFIB,IncFIC	-	-	-	non-mobilizable	AMR
GCF_010365545.1-NZ_CP048377.1	Escherichia	86996	typical plasmid	IncFIA,IncFIB,IncFII,IncFII,rep_cluster_2232	-	-	-	non-mobilizable	AMR
GCF_022558785.1-NZ_CP060910.1	Escherichia	86975	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_022558765.1-NZ_CP060904.1	Escherichia	86975	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_022558705.1-NZ_CP060887.1	Escherichia	86975	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_048585545.1-NZ_CP184018.1	Escherichia	86973	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_048572705.1-NZ_CP178658.1	Escherichia	86932	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_002156825.1-NZ_CP021336.1	Escherichia	86922	typical plasmid	IncHI1B	-	-	-	non-mobilizable	non-AMR
GCF_002156845.1-NZ_CP021340.1	Escherichia	86917	typical plasmid	IncHI1B	-	-	-	non-mobilizable	non-AMR
GCF_027944795.1-NZ_CP116125.1	Escherichia	86916	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_022385215.1-NZ_CP092453.1	Escherichia	86914	typical plasmid	IncFIA,IncFIB	-	-	-	non-mobilizable	AMR
GCF_014623205.1-NZ_CP035769.1	Escherichia	86875	typical plasmid	IncFIB,IncI-gamma/K1	MOBP	-	MOBP	mobilizable	non-AMR
GCF_014607575.1-NZ_CP035766.1	Escherichia	86874	typical plasmid	IncFIB,IncI-gamma/K1	MOBP	-	MOBP	mobilizable	non-AMR
GCF_030162155.2-NZ_AP027965.1	Escherichia	86870	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_024918275.1-NZ_CP103628.1	Escherichia	86843	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_024918195.1-NZ_CP103624.1	Escherichia	86833	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_018771465.1-NZ_CP076307.1	Escherichia	86764	typical plasmid	rep_cluster_1704	-	-	-	non-mobilizable	non-AMR
GCF_016904075.1-NZ_CP070044.1	Escherichia	86762	typical plasmid	IncFIA,IncFIB,IncFIC	MOBF,MOBP	MPF_F	MOBF	conjugative	non-AMR
GCF_022494785.1-NZ_CP091698.1	Escherichia	86740	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_013372325.1-NZ_CP054221.1	Escherichia	86740	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_036497325.1-NZ_AP027555.1	Escherichia	86732	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_003033905.1-NZ_CP027119.1	Escherichia	86731	typical plasmid	IncFIB,IncFII,IncQ1	-	-	-	non-mobilizable	AMR
GCF_002142715.1-NZ_CP021208.1	Escherichia	86725	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_030037255.1-NZ_CP124477.1	Escherichia	86720	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_027945055.1-NZ_CP116200.1	Escherichia	86715	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_014623225.1-NZ_CP031352.1	Escherichia	86711	typical plasmid	IncFIB,IncI-gamma/K1	MOBP	-	MOBP	mobilizable	non-AMR
GCF_030013165.1-NZ_CP122640.1	Escherichia	86703	typical plasmid	IncY	-	-	-	non-mobilizable	AMR
GCF_003194345.1-NZ_CP028485.1	Escherichia	86657	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_904831845.1-NZ_LR883002.1	Escherichia	86655	typical plasmid	IncFIA,IncFIB,IncFIC	MOBF,MOBP	MPF_F	MOBF	conjugative	non-AMR
GCF_013085905.2-NZ_CP054413.1	Escherichia	86646	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_003956345.1-NZ_CP025846.1	Escherichia	86624	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_003112205.1-NZ_CP028120.1	Escherichia	86617	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_964052415.1-NZ_OZ040671.1	Escherichia	86598	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_014522225.1-NZ_CP049120.1	Escherichia	86557	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_022494745.1-NZ_CP091685.1	Escherichia	86532	typical plasmid	IncFIB,IncFII,rep_cluster_2131	MOBP	-	-	mobilizable	AMR
GCF_008065435.1-NZ_CP042297.1	Escherichia	86529	typical plasmid	IncFIC,IncI1	MOBF	MPF_F	MOBF	conjugative	non-AMR
GCF_904830965.1-NZ_LR882974.1	Escherichia	86517	typical plasmid	IncFIA,IncFIB,IncFII	MOBP	MPF_F	-	conjugative	non-AMR
GCF_036508395.1-NZ_AP027905.1	Escherichia	86488	typical plasmid	IncFIA,IncFIB,IncN	-	-	-	non-mobilizable	AMR
GCF_018986795.1-NZ_CP076710.1	Escherichia	86487	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_030036755.1-NZ_CP124501.1	Escherichia	86455	typical plasmid	IncFIA,IncFIB,IncFIC	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_036496485.1-NZ_AP027533.1	Escherichia	86444	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_040536875.1-NZ_CP159541.1	Escherichia	86434	typical plasmid	rep_cluster_867	MOBF	MPF_F	-	conjugative	non-AMR
GCF_038396505.1-NZ_CP147061.1	Escherichia	86428	typical plasmid	IncFIA	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_019969545.1-NZ_CP081776.1	Escherichia	86382	typical plasmid	IncFIB	-	MPF_F	-	non-mobilizable	non-AMR
GCF_019431295.1-NZ_CP080228.1	Escherichia	86378	typical plasmid	IncFIA,IncFIC,IncX1	-	MPF_F	MOBF	mobilizable	non-AMR
GCF_001693635.1-NZ_CP016547.1	Escherichia	86371	typical plasmid	IncI2	MOBP,MOBP	MPF_T	-	conjugative	non-AMR
GCF_019969505.1-NZ_CP081769.1	Escherichia	86368	typical plasmid	IncFIB	-	MPF_F	-	non-mobilizable	non-AMR
GCF_019969565.1-NZ_CP081692.1	Escherichia	86367	typical plasmid	IncFIB	-	MPF_F	-	non-mobilizable	non-AMR
GCF_019969585.1-NZ_CP081784.1	Escherichia	86367	typical plasmid	IncFIB	-	MPF_F	-	non-mobilizable	non-AMR
GCF_019969485.1-NZ_CP081679.1	Escherichia	86367	typical plasmid	IncFIB	-	MPF_F	-	non-mobilizable	non-AMR
GCF_900520365.1-NZ_LS992194.1	Escherichia	86367	typical plasmid	IncFIA,IncFII	MOBF	MPF_F	MOBF	conjugative	non-AMR
GCF_019969525.1-NZ_CP081686.1	Escherichia	86361	typical plasmid	IncFIB	-	MPF_F	-	non-mobilizable	non-AMR
GCF_036718175.1-NZ_CP150017.1	Escherichia	86345	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_037477995.1-NZ_CP139183.1	Escherichia	86341	typical plasmid	IncFIA,IncFII	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_034421795.1-NZ_CP139797.1	Escherichia	86338	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_013357345.1-NZ_CP054943.1	Escherichia	86336	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_023546825.1-NZ_CP097366.1	Escherichia	86293	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_016903935.1-NZ_CP070009.1	Escherichia	86286	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_030162015.2-NZ_AP027954.1	Escherichia	86247	typical plasmid	IncFIA,IncFIB	-	-	-	non-mobilizable	AMR
GCF_022558925.1-NZ_CP060948.1	Escherichia	86240	typical plasmid	IncFIA,IncFII	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_032375085.1-NZ_CP135648.1	Escherichia	86199	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_030295545.1-NZ_AP027219.1	Escherichia	86192	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_036884415.1-NZ_CP145638.1	Escherichia	86191	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_022559025.1-NZ_CP043288.1	Escherichia	86177	typical plasmid	IncY	-	-	-	non-mobilizable	non-AMR
GCF_017310445.1-NZ_CP064107.1	Escherichia	86173	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_027944675.1-NZ_CP116096.1	Escherichia	86167	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_019915505.1-NZ_CP082826.1	Escherichia	86164	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_030007975.1-NZ_CP124821.1	Escherichia	86154	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_002310615.1-NZ_CP023387.1	Escherichia	86147	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_025808215.1-NZ_CP107288.1	Escherichia	86134	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_030168715.1-NZ_CP122501.1	Escherichia	86106	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_037094585.1-NZ_CP146671.1	Escherichia	86055	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_039909525.1-NZ_CP157112.1	Escherichia	86049	typical plasmid	IncFIB	MOBP	-	-	mobilizable	non-AMR
GCF_001900535.1-NZ_CP010124.1	Escherichia	86032	typical plasmid	IncFIC,IncI1	MOBF	MPF_F	-	conjugative	non-AMR
GCF_001971765.1-NZ_CP019358.1	Escherichia	86028	typical plasmid	IncI1/B/O	MOBP,MOBP	MPF_I	MOBP	conjugative	AMR
GCF_030413845.1-NZ_CP129242.1	Escherichia	85984	typical plasmid	IncFII,rep_cluster_1195	-	-	-	non-mobilizable	AMR
GCF_030344975.1-NZ_CP128257.1	Escherichia	85979	typical plasmid	IncFIA,IncFIA,IncFII	MOBF	MPF_F	MOBF	conjugative	non-AMR
GCF_036505855.1-NZ_AP027832.1	Escherichia	85953	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_009832885.1-NZ_CP047128.1	Escherichia	85943	typical plasmid	IncC,IncN	-	-	MOBH	mobilizable	AMR
GCF_904863235.1-NZ_LR890274.1	Escherichia	85915	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_019375055.2-NZ_CP089137.1	Escherichia	85891	typical plasmid	IncFIA,IncFII	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_008727195.1-NZ_CP044150.1	Escherichia	85887	typical plasmid	IncFIB	MOBP	-	-	mobilizable	non-AMR
GCF_002012085.1-NZ_CP018989.1	Escherichia	85865	typical plasmid	IncFIA,IncFII,IncR,rep_cluster_2183	MOBF,MOBF	MPF_F	MOBF	conjugative	AMR
GCF_002741435.1-NZ_CP024226.1	Escherichia	85864	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	-	conjugative	AMR
GCF_015509005.1-NZ_AP022817.1	Escherichia	85841	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_017357705.1-NZ_CP043264.1	Escherichia	85807	typical plasmid	IncY	-	-	-	non-mobilizable	non-AMR
GCF_033546895.1-NZ_CP137859.1	Escherichia	85806	typical plasmid	rep_cluster_1704	-	-	-	non-mobilizable	non-AMR
GCF_050703865.1-NZ_CP077571.1	Escherichia	85803	typical plasmid	IncFIA	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_041006045.1-NZ_CP163135.1	Escherichia	85718	typical plasmid	rep_cluster_2183	MOBF	-	-	mobilizable	AMR
GCF_047118475.1-NZ_CP128644.1	Escherichia	85688	typical plasmid	IncY	-	-	-	non-mobilizable	AMR
GCF_037225585.1-NZ_CP147531.1	Escherichia	85636	typical plasmid	IncFIA,IncFIB	MOBF,MOBF	MPF_F	MOBF	conjugative	AMR
GCF_050916145.1-NZ_CP071003.1	Escherichia	85615	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_050916125.1-NZ_CP065822.1	Escherichia	85614	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_018972225.1-NZ_CP076690.1	Escherichia	85614	typical plasmid	IncFIA	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_002310555.1-NZ_CP023362.1	Escherichia	85570	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_049489465.1-NZ_CP077455.1	Escherichia	85559	typical plasmid	IncFIA,IncFII	MOBF	MPF_F	MOBF	conjugative	non-AMR
GCF_020540945.1-NZ_CP085059.1	Escherichia	85542	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_002925525.1-NZ_CP025709.1	Escherichia	85535	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	AMR
GCF_014705965.1-NZ_CP061532.1	Escherichia	85479	typical plasmid	IncFIA,IncFIB,IncX1	-	MPF_T	MOBF	mobilizable	non-AMR
GCF_028473865.1-NZ_CP103332.1	Escherichia	85443	typical plasmid	IncI-gamma/K1	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_017570625.1-NZ_CP069667.1	Escherichia	85440	typical plasmid	IncFIB,IncFIC,rep_cluster_2244	-	-	-	non-mobilizable	AMR
GCF_024585425.1-NZ_CP073933.1	Escherichia	85429	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBF	conjugative	AMR
GCF_009948655.1-NZ_CP041415.1	Escherichia	85426	typical plasmid	IncFIB,IncFIC,rep_cluster_2244	MOBF	MPF_F	-	conjugative	non-AMR
GCF_037541525.1-NZ_CP148321.1	Escherichia	85420	typical plasmid	IncK2/Z	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_016904795.1-NZ_CP070294.1	Escherichia	85397	typical plasmid	IncFIA,IncFIB,IncFIB,IncX1	MOBP	MPF_T	-	conjugative	non-AMR
GCF_041320125.1-NZ_CP100965.1	Escherichia	85393	typical plasmid	IncY	-	-	-	non-mobilizable	AMR
GCF_036505855.1-NZ_AP027833.1	Escherichia	85393	typical plasmid	Col(BS512),IncFIB	MOBC	MPF_T	-	conjugative	AMR
GCF_036502125.1-NZ_AP027706.1	Escherichia	85379	typical plasmid	IncX1	MOBP	MPF_T	-	conjugative	AMR
GCF_022558405.1-NZ_CP090306.1	Escherichia	85345	typical plasmid	IncFIA,IncFIC	MOBF	MPF_F	MOBP	conjugative	AMR
GCF_024298505.1-NZ_CP101241.1	Escherichia	85310	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_024298705.1-NZ_CP101259.1	Escherichia	85299	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_024298525.1-NZ_CP101247.1	Escherichia	85299	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
GCF_024298545.1-NZ_CP101253.1	Escherichia	85299	typical plasmid	IncI1/B/O	MOBP	MPF_I	MOBP	conjugative	non-AMR
