contig	genus	size	category-pident_90	chromid	ref_data
GCF_012169405.1-NZ_CP042977.1	Klebsiella	5127934	typical chromosome	No	
GCF_012169405.1-NZ_CP042975.1	Klebsiella	270776	typical plasmid	No	
GCF_012169405.1-NZ_CP042976.1	Klebsiella	43296	typical plasmid	No	
GCF_012944055.1-NZ_CP052036.1	Klebsiella	5377071	typical chromosome	No	
GCF_012944055.1-NZ_CP052037.1	Klebsiella	207560	typical plasmid	No	
GCF_013168295.1-NZ_AP023148.1	Klebsiella	5155320	typical chromosome	No	
GCF_013168295.1-NZ_AP023149.1	Klebsiella	111317	typical plasmid	No	
GCF_013168295.1-NZ_AP023150.1	Klebsiella	86902	typical plasmid	No	
GCF_013168295.1-NZ_AP023151.1	Klebsiella	54548	typical plasmid	No	
GCF_013282295.1-NZ_CP042882.1	Klebsiella	5314939	typical chromosome	No	
GCF_013282295.1-NZ_CP042883.1	Klebsiella	194856	typical plasmid	No	
GCF_013282295.1-NZ_CP042884.1	Klebsiella	1552	typical plasmid	No	
GCF_013283935.1-NZ_CP054063.1	Klebsiella	5117375	typical chromosome	No	
GCF_013283935.1-NZ_CP054064.1	Klebsiella	211588	typical plasmid	No	
GCF_013305305.1-NZ_CP054268.1	Klebsiella	5414156	typical chromosome	No	
GCF_013305305.1-NZ_CP054265.1	Klebsiella	168717	typical plasmid	No	
GCF_013305305.1-NZ_CP054266.1	Klebsiella	89626	typical plasmid	No	
GCF_013305305.1-NZ_CP054267.1	Klebsiella	57419	typical plasmid	No	
GCF_013305325.1-NZ_CP054303.1	Klebsiella	5492431	typical chromosome	No	
GCF_013305325.1-NZ_CP054304.1	Klebsiella	216803	typical plasmid	No	
GCF_013305325.1-NZ_CP054305.1	Klebsiella	125232	typical plasmid	No	
GCF_013348885.1-NZ_CP054762.1	Klebsiella	5449609	typical chromosome	No	
GCF_013348885.1-NZ_CP054763.1	Klebsiella	195077	typical plasmid	No	
GCF_013348885.1-NZ_CP054764.1	Klebsiella	133772	typical plasmid	No	
GCF_013348885.1-NZ_CP054765.1	Klebsiella	87095	typical plasmid	No	
GCF_013348885.1-NZ_CP054766.1	Klebsiella	11970	typical plasmid	No	
GCF_013348885.1-NZ_CP054767.1	Klebsiella	5596	typical plasmid	No	
GCF_013348905.1-NZ_CP054720.1	Klebsiella	5449011	typical chromosome	No	
GCF_013348905.1-NZ_CP054721.1	Klebsiella	194901	typical plasmid	No	
GCF_013348905.1-NZ_CP054722.1	Klebsiella	133772	typical plasmid	No	
GCF_013348905.1-NZ_CP054723.1	Klebsiella	87095	typical plasmid	No	
GCF_013348905.1-NZ_CP054724.1	Klebsiella	11970	typical plasmid	No	
GCF_013348905.1-NZ_CP054725.1	Klebsiella	5596	typical plasmid	No	
GCF_013348925.1-NZ_CP054756.1	Klebsiella	5449012	typical chromosome	No	
GCF_013348925.1-NZ_CP054757.1	Klebsiella	195024	typical plasmid	No	
GCF_013348925.1-NZ_CP054758.1	Klebsiella	123177	typical plasmid	No	
GCF_013348925.1-NZ_CP054759.1	Klebsiella	87095	typical plasmid	No	
GCF_013348925.1-NZ_CP054760.1	Klebsiella	11970	typical plasmid	No	
GCF_013348925.1-NZ_CP054761.1	Klebsiella	5596	typical plasmid	No	
GCF_013348945.1-NZ_CP054732.1	Klebsiella	5448829	typical chromosome	No	
GCF_013348945.1-NZ_CP054733.1	Klebsiella	194896	typical plasmid	No	
GCF_013348945.1-NZ_CP054734.1	Klebsiella	123177	typical plasmid	No	
GCF_013348945.1-NZ_CP054735.1	Klebsiella	87095	typical plasmid	No	
GCF_013348945.1-NZ_CP054736.1	Klebsiella	11970	typical plasmid	No	
GCF_013348945.1-NZ_CP054737.1	Klebsiella	5596	typical plasmid	No	
GCF_013348965.1-NZ_CP054726.1	Klebsiella	5448829	typical chromosome	No	
GCF_013348965.1-NZ_CP054727.1	Klebsiella	195027	typical plasmid	No	
GCF_013348965.1-NZ_CP054728.1	Klebsiella	133772	typical plasmid	No	
GCF_013348965.1-NZ_CP054729.1	Klebsiella	87095	typical plasmid	No	
GCF_013348965.1-NZ_CP054730.1	Klebsiella	11970	typical plasmid	No	
GCF_013348965.1-NZ_CP054731.1	Klebsiella	5596	typical plasmid	No	
GCF_013348985.1-NZ_CP054738.1	Klebsiella	5449193	typical chromosome	No	
GCF_013348985.1-NZ_CP054739.1	Klebsiella	195034	typical plasmid	No	
GCF_013348985.1-NZ_CP054740.1	Klebsiella	123177	typical plasmid	No	
GCF_013348985.1-NZ_CP054741.1	Klebsiella	87095	typical plasmid	No	
GCF_013348985.1-NZ_CP054742.1	Klebsiella	11970	typical plasmid	No	
GCF_013348985.1-NZ_CP054743.1	Klebsiella	5596	typical plasmid	No	
GCF_013349005.1-NZ_CP054744.1	Klebsiella	5450029	typical chromosome	No	
GCF_013349005.1-NZ_CP054745.1	Klebsiella	195025	typical plasmid	No	
GCF_013349005.1-NZ_CP054746.1	Klebsiella	133772	typical plasmid	No	
GCF_013349005.1-NZ_CP054747.1	Klebsiella	87095	typical plasmid	No	
GCF_013349005.1-NZ_CP054748.1	Klebsiella	11971	typical plasmid	No	
GCF_013349005.1-NZ_CP054749.1	Klebsiella	5596	typical plasmid	No	
GCF_013349025.1-NZ_CP054750.1	Klebsiella	5450212	typical chromosome	No	
GCF_013349025.1-NZ_CP054751.1	Klebsiella	195028	typical plasmid	No	
GCF_013349025.1-NZ_CP054752.1	Klebsiella	133772	typical plasmid	No	
GCF_013349025.1-NZ_CP054753.1	Klebsiella	87095	typical plasmid	No	
GCF_013349025.1-NZ_CP054754.1	Klebsiella	11970	typical plasmid	No	
GCF_013349025.1-NZ_CP054755.1	Klebsiella	5596	typical plasmid	No	
GCF_013349045.1-NZ_CP054768.1	Klebsiella	5447537	typical chromosome	No	
GCF_013349045.1-NZ_CP054769.1	Klebsiella	195034	typical plasmid	No	
GCF_013349045.1-NZ_CP054770.1	Klebsiella	133772	typical plasmid	No	
GCF_013349045.1-NZ_CP054771.1	Klebsiella	87095	typical plasmid	No	
GCF_013349045.1-NZ_CP054772.1	Klebsiella	11970	typical plasmid	No	
GCF_013349045.1-NZ_CP054773.1	Klebsiella	5596	typical plasmid	No	
GCF_013349065.1-NZ_CP054774.1	Klebsiella	5447900	typical chromosome	No	
GCF_013349065.1-NZ_CP054775.1	Klebsiella	195030	typical plasmid	No	
GCF_013349065.1-NZ_CP054776.1	Klebsiella	133772	typical plasmid	No	
GCF_013349065.1-NZ_CP054777.1	Klebsiella	87095	typical plasmid	No	
GCF_013349065.1-NZ_CP054778.1	Klebsiella	15931	typical plasmid	No	
GCF_013349065.1-NZ_CP054779.1	Klebsiella	5596	typical plasmid	No	
GCF_013349085.1-NZ_CP054780.1	Klebsiella	5448829	typical chromosome	No	
GCF_013349085.1-NZ_CP054781.1	Klebsiella	195031	typical plasmid	No	
GCF_013349085.1-NZ_CP054782.1	Klebsiella	133771	typical plasmid	No	
GCF_013349085.1-NZ_CP054783.1	Klebsiella	87095	typical plasmid	No	
GCF_013349085.1-NZ_CP054784.1	Klebsiella	11970	typical plasmid	No	
GCF_013349085.1-NZ_CP054785.1	Klebsiella	5596	typical plasmid	No	
GCF_013376535.2-NZ_CP051159.1	Klebsiella	5396045	typical chromosome	No	
GCF_013376535.2-NZ_CP076548.1	Klebsiella	221626	intermediate replicon	No	
GCF_013376535.2-NZ_CP076549.1	Klebsiella	37368	intermediate replicon	No	
GCF_013376535.2-NZ_CP076550.1	Klebsiella	30607	typical plasmid	No	
GCF_013376535.2-NZ_CP076551.1	Klebsiella	11970	typical plasmid	No	
GCF_013376535.2-NZ_CP076552.1	Klebsiella	5596	typical plasmid	No	
GCF_013376535.2-NZ_CP076553.1	Klebsiella	162180	typical plasmid	No	
GCF_013376535.2-NZ_CP076554.1	Klebsiella	123686	typical plasmid	No	
GCF_013376555.1-NZ_CP051160.1	Klebsiella	5409809	typical chromosome	No	
GCF_013376595.1-NZ_CP051161.1	Klebsiella	5269011	typical chromosome	No	
GCF_013378155.1-NZ_CP039936.1	Klebsiella	5452021	typical chromosome	No	
GCF_013378155.1-NZ_CP039937.1	Klebsiella	54473	typical plasmid	No	
GCF_013378155.1-NZ_CP039938.1	Klebsiella	63589	typical plasmid	No	
GCF_013378175.1-NZ_CP039939.1	Klebsiella	5452268	typical chromosome	No	
GCF_013378175.1-NZ_CP039940.1	Klebsiella	54444	typical plasmid	No	
GCF_013378175.1-NZ_CP039941.1	Klebsiella	63589	typical plasmid	No	
GCF_013378195.1-NZ_CP039942.1	Klebsiella	5452451	typical chromosome	No	
GCF_013378195.1-NZ_CP039943.1	Klebsiella	54473	typical plasmid	No	
GCF_013378195.1-NZ_CP039944.1	Klebsiella	63589	typical plasmid	No	
GCF_013378215.1-NZ_CP039945.1	Klebsiella	5453228	typical chromosome	No	
GCF_013378215.1-NZ_CP039946.1	Klebsiella	54251	typical plasmid	No	
GCF_013378215.1-NZ_CP039947.1	Klebsiella	63589	typical plasmid	No	
GCF_013378235.1-NZ_CP039948.1	Klebsiella	5452451	typical chromosome	No	
GCF_013378235.1-NZ_CP039949.1	Klebsiella	56374	typical plasmid	No	
GCF_013378235.1-NZ_CP039950.1	Klebsiella	63589	typical plasmid	No	
GCF_013378255.1-NZ_CP039951.1	Klebsiella	5399745	typical chromosome	No	
GCF_013378255.1-NZ_CP039952.1	Klebsiella	156332	typical plasmid	No	
GCF_013378255.1-NZ_CP039953.1	Klebsiella	63589	typical plasmid	No	
GCF_013378275.1-NZ_CP039954.1	Klebsiella	5399166	typical chromosome	No	
GCF_013378275.1-NZ_CP039955.1	Klebsiella	156332	typical plasmid	No	
GCF_013378275.1-NZ_CP039956.1	Klebsiella	63589	typical plasmid	No	
GCF_013378295.1-NZ_CP039957.1	Klebsiella	5452022	typical chromosome	No	
GCF_013378295.1-NZ_CP039958.1	Klebsiella	54469	typical plasmid	No	
GCF_013378295.1-NZ_CP039959.1	Klebsiella	63589	typical plasmid	No	
GCF_013378315.1-NZ_CP039960.1	Klebsiella	5452088	typical chromosome	No	
GCF_013378315.1-NZ_CP039961.1	Klebsiella	54467	typical plasmid	No	
GCF_013378315.1-NZ_CP039962.1	Klebsiella	63589	typical plasmid	No	
GCF_013407605.1-NZ_CP042309.1	Klebsiella	5287421	typical chromosome	No	
GCF_013407715.1-NZ_CP042310.1	Klebsiella	5363005	typical chromosome	No	
GCF_013407825.1-NZ_CP042311.1	Klebsiella	5362074	typical chromosome	No	
GCF_013408255.1-NZ_CP042314.1	Klebsiella	4996433	typical chromosome	No	
GCF_013408385.1-NZ_CP042315.1	Klebsiella	5018647	typical chromosome	No	
GCF_013408625.1-NZ_CP042317.1	Klebsiella	4999802	typical chromosome	No	
GCF_013408755.1-NZ_CP042318.1	Klebsiella	5294970	typical chromosome	No	
GCF_013409055.1-NZ_CP042320.1	Klebsiella	5297596	typical chromosome	No	
GCF_013409165.1-NZ_CP042321.1	Klebsiella	5285995	typical chromosome	No	
GCF_013416035.1-NZ_CP049716.1	Klebsiella	5406746	typical chromosome	No	
GCF_013416035.1-NZ_CP049717.1	Klebsiella	190737	typical plasmid	No	
GCF_013416035.1-NZ_CP049718.1	Klebsiella	55778	typical plasmid	No	
GCF_013416055.1-NZ_CP049719.1	Klebsiella	5405574	typical chromosome	No	
GCF_013416055.1-NZ_CP049720.1	Klebsiella	204699	typical plasmid	No	
GCF_013416085.1-NZ_CP049947.1	Klebsiella	5452021	typical chromosome	No	
GCF_013416085.1-NZ_CP049949.1	Klebsiella	43417	typical plasmid	No	
GCF_013416085.1-NZ_CP049948.1	Klebsiella	63589	typical plasmid	No	
GCF_013416105.1-NZ_CP049950.1	Klebsiella	5452593	typical chromosome	No	
GCF_013416105.1-NZ_CP049952.1	Klebsiella	37432	typical plasmid	No	
GCF_013416105.1-NZ_CP049951.1	Klebsiella	63589	typical plasmid	No	
GCF_013416125.1-NZ_CP049953.1	Klebsiella	5414429	typical chromosome	No	
GCF_013416125.1-NZ_CP049955.1	Klebsiella	54471	typical plasmid	No	
GCF_013416125.1-NZ_CP049954.1	Klebsiella	63589	typical plasmid	No	
GCF_013423825.1-NZ_CP058960.1	Klebsiella	5513322	typical chromosome	No	
GCF_013423825.1-NZ_CP058961.1	Klebsiella	108036	typical plasmid	No	
GCF_013423825.1-NZ_CP058966.1	Klebsiella	2458	typical plasmid	No	
GCF_013423825.1-NZ_CP058965.1	Klebsiella	3508	typical plasmid	No	
GCF_013423825.1-NZ_CP058964.1	Klebsiella	4232	typical plasmid	No	
GCF_013423825.1-NZ_CP058963.1	Klebsiella	4436	typical plasmid	No	
GCF_013423825.1-NZ_CP058962.1	Klebsiella	88061	typical plasmid	No	
GCF_013611495.1-NZ_CP055509.1	Klebsiella	5460602	typical chromosome	No	
GCF_013611495.1-NZ_CP055510.1	Klebsiella	333723	typical plasmid	No	
GCF_013611495.1-NZ_CP055511.1	Klebsiella	115055	typical plasmid	No	
GCF_013611495.1-NZ_CP055512.1	Klebsiella	95633	typical plasmid	No	
GCF_013611495.1-NZ_CP055513.1	Klebsiella	35237	typical plasmid	No	
GCF_013611495.1-NZ_CP055514.1	Klebsiella	4184	typical plasmid	No	
GCF_013611495.1-NZ_CP055515.1	Klebsiella	2927	typical plasmid	No	
GCF_013611495.1-NZ_CP055516.1	Klebsiella	1919	typical plasmid	No	
GCF_013694405.1-NZ_CP059312.1	Klebsiella	5301922	typical chromosome	No	
GCF_013694405.1-NZ_CP059311.1	Klebsiella	286241	typical plasmid	No	
GCF_013694405.1-NZ_CP059310.1	Klebsiella	151753	typical plasmid	No	
GCF_013694405.1-NZ_CP059309.1	Klebsiella	35866	typical plasmid	No	
GCF_013694405.1-NZ_CP059308.1	Klebsiella	4936	typical plasmid	No	
GCF_013694405.1-NZ_CP059307.1	Klebsiella	4167	typical plasmid	No	
GCF_013694405.1-NZ_CP059306.1	Klebsiella	4163	typical plasmid	No	
GCF_013694405.1-NZ_CP059305.1	Klebsiella	3958	typical plasmid	No	
GCF_013694425.1-NZ_CP059317.1	Klebsiella	5346272	typical chromosome	No	
GCF_013694425.1-NZ_CP059316.1	Klebsiella	109568	typical plasmid	No	
GCF_013694425.1-NZ_CP059315.1	Klebsiella	101059	typical plasmid	No	
GCF_013694425.1-NZ_CP059314.1	Klebsiella	49681	typical plasmid	No	
GCF_013694425.1-NZ_CP059313.1	Klebsiella	4167	typical plasmid	No	
GCF_013704985.1-NZ_CP055451.1	Klebsiella	5259821	typical chromosome	No	
GCF_013704985.1-NZ_CP055453.1	Klebsiella	41042	typical plasmid	No	
GCF_013704985.1-NZ_CP055452.1	Klebsiella	244871	typical plasmid	No	
GCF_013704985.1-NZ_CP055454.1	Klebsiella	38470	typical plasmid	No	
GCF_013704985.1-NZ_CP055455.1	Klebsiella	3322	typical plasmid	No	
GCF_013704985.1-NZ_CP055456.1	Klebsiella	3271	typical plasmid	No	
GCF_013704985.1-NZ_CP055457.1	Klebsiella	2988	typical plasmid	No	
GCF_013724605.1-NZ_CP056222.1	Klebsiella	5396561	typical chromosome	No	
GCF_013724605.1-NZ_CP056223.1	Klebsiella	176327	typical plasmid	No	
GCF_013724605.1-NZ_CP056224.1	Klebsiella	111674	typical plasmid	No	
GCF_013724605.1-NZ_CP056225.1	Klebsiella	69970	typical plasmid	No	
GCF_013724605.1-NZ_CP056226.1	Klebsiella	65682	typical plasmid	No	
GCF_013724605.1-NZ_CP056227.1	Klebsiella	3223	typical plasmid	No	
GCF_013724605.1-NZ_CP056228.1	Klebsiella	1443	typical plasmid	No	
GCF_013729075.1-NZ_CP056275.1	Klebsiella	5196198	typical chromosome	No	
GCF_013729075.1-NZ_CP056276.1	Klebsiella	248629	typical plasmid	No	
GCF_013729075.1-NZ_CP056277.1	Klebsiella	51057	typical plasmid	No	
GCF_013730675.1-NZ_CP056297.1	Klebsiella	5169062	typical chromosome	No	
GCF_013730675.1-NZ_CP056298.1	Klebsiella	131105	typical plasmid	No	
GCF_013731305.1-NZ_CP056301.1	Klebsiella	5297180	typical chromosome	No	
GCF_013731305.1-NZ_CP056302.1	Klebsiella	267374	typical plasmid	No	
GCF_013731305.1-NZ_CP056303.1	Klebsiella	108572	typical plasmid	No	
GCF_013731735.1-NZ_CP056307.1	Klebsiella	5460256	typical chromosome	No	
GCF_013731735.1-NZ_CP056308.1	Klebsiella	232875	typical plasmid	No	
GCF_013731735.1-NZ_CP056309.1	Klebsiella	113854	typical plasmid	No	
GCF_013731735.1-NZ_CP056310.1	Klebsiella	97542	typical plasmid	No	
GCF_013731735.1-NZ_CP056311.1	Klebsiella	36438	typical plasmid	No	
GCF_013731735.1-NZ_CP056312.1	Klebsiella	4184	typical plasmid	No	
GCF_013731735.1-NZ_CP056313.1	Klebsiella	2927	typical plasmid	No	
GCF_013734035.1-NZ_CP056372.1	Klebsiella	5306794	typical chromosome	No	
GCF_013734035.1-NZ_CP056373.1	Klebsiella	193688	typical plasmid	No	
GCF_013734035.1-NZ_CP056374.1	Klebsiella	171701	typical plasmid	No	
GCF_013734035.1-NZ_CP056375.1	Klebsiella	107685	typical plasmid	No	
GCF_013734035.1-NZ_CP056376.1	Klebsiella	5783	typical plasmid	No	
GCF_013734035.1-NZ_CP056377.1	Klebsiella	5525	typical plasmid	No	
GCF_013734035.1-NZ_CP056378.1	Klebsiella	4416	typical plasmid	No	
GCF_013734035.1-NZ_CP056379.1	Klebsiella	4018	typical plasmid	No	
GCF_013734035.1-NZ_CP056380.1	Klebsiella	1916	typical plasmid	No	
GCF_013735155.1-NZ_CP056385.1	Klebsiella	5302120	typical chromosome	No	
GCF_013735155.1-NZ_CP056386.1	Klebsiella	252882	typical plasmid	No	
GCF_013735155.1-NZ_CP056387.1	Klebsiella	5783	typical plasmid	No	
GCF_013735155.1-NZ_CP056388.1	Klebsiella	4891	typical plasmid	No	
GCF_013735155.1-NZ_CP056389.1	Klebsiella	4426	typical plasmid	No	
GCF_013735155.1-NZ_CP056390.1	Klebsiella	3515	typical plasmid	No	
GCF_013735155.1-NZ_CP056391.1	Klebsiella	2173	typical plasmid	No	
GCF_013735895.1-NZ_CP056425.1	Klebsiella	5494507	typical chromosome	No	
GCF_013735895.1-NZ_CP056426.1	Klebsiella	220501	typical plasmid	No	
GCF_013735895.1-NZ_CP056427.1	Klebsiella	82555	typical plasmid	No	
GCF_013735895.1-NZ_CP056428.1	Klebsiella	25549	typical plasmid	No	
GCF_013735895.1-NZ_CP056429.1	Klebsiella	5783	typical plasmid	No	
GCF_013735895.1-NZ_CP056430.1	Klebsiella	3733	typical plasmid	No	
GCF_013735895.1-NZ_CP056431.1	Klebsiella	2836	typical plasmid	No	
GCF_013736155.1-NZ_CP056432.1	Klebsiella	5342507	typical chromosome	No	
GCF_013736155.1-NZ_CP056433.1	Klebsiella	206782	typical plasmid	No	
GCF_013736155.1-NZ_CP056434.1	Klebsiella	137885	typical plasmid	No	
GCF_013736155.1-NZ_CP056435.1	Klebsiella	136301	typical plasmid	No	
GCF_013736155.1-NZ_CP056436.1	Klebsiella	107037	typical plasmid	No	
GCF_013736155.1-NZ_CP056437.1	Klebsiella	48726	typical plasmid	No	
GCF_013736155.1-NZ_CP056438.1	Klebsiella	5907	typical plasmid	No	
GCF_013736155.1-NZ_CP056439.1	Klebsiella	3514	typical plasmid	No	
GCF_013736155.1-NZ_CP056440.1	Klebsiella	1917	typical plasmid	No	
GCF_013737695.1-NZ_CP056530.1	Klebsiella	5240044	typical chromosome	No	
GCF_013737695.1-NZ_CP056531.1	Klebsiella	224837	typical plasmid	No	
GCF_013737695.1-NZ_CP056532.1	Klebsiella	111220	typical plasmid	No	
GCF_013737695.1-NZ_CP056533.1	Klebsiella	74689	typical plasmid	No	
GCF_013737695.1-NZ_CP056534.1	Klebsiella	6995	typical plasmid	No	
GCF_013737695.1-NZ_CP056535.1	Klebsiella	5783	typical plasmid	No	
GCF_013737695.1-NZ_CP056536.1	Klebsiella	5586	typical plasmid	No	
GCF_013737695.1-NZ_CP056537.1	Klebsiella	4772	typical plasmid	No	
GCF_013737695.1-NZ_CP056538.1	Klebsiella	3398	typical plasmid	No	
GCF_013745295.1-NZ_CP056329.1	Klebsiella	5268121	typical chromosome	No	
GCF_013745295.1-NZ_CP056330.1	Klebsiella	6757	typical plasmid	No	
GCF_013745295.1-NZ_CP056331.1	Klebsiella	5167	typical plasmid	No	
GCF_013745295.1-NZ_CP056332.1	Klebsiella	4074	typical plasmid	No	
GCF_013782105.1-NZ_CP056191.1	Klebsiella	5185437	typical chromosome	No	
GCF_013782105.1-NZ_CP056192.1	Klebsiella	246880	typical plasmid	No	
GCF_013782105.1-NZ_CP056193.1	Klebsiella	72044	typical plasmid	No	
GCF_013782105.1-NZ_CP056194.1	Klebsiella	70240	typical plasmid	No	
GCF_013782105.1-NZ_CP056195.1	Klebsiella	14959	typical plasmid	No	
GCF_013782105.1-NZ_CP056196.1	Klebsiella	5783	typical plasmid	No	
GCF_013782105.1-NZ_CP056197.1	Klebsiella	2426	typical plasmid	No	
GCF_013782105.1-NZ_CP056198.1	Klebsiella	1917	typical plasmid	No	
GCF_013783245.1-NZ_CP056216.1	Klebsiella	5227382	typical chromosome	No	
GCF_013783245.1-NZ_CP056217.1	Klebsiella	144961	typical plasmid	No	
GCF_013783245.1-NZ_CP056218.1	Klebsiella	4805	typical plasmid	No	
GCF_013791265.1-NZ_CP056830.1	Klebsiella	5345158	typical chromosome	No	
GCF_013791265.1-NZ_CP056831.1	Klebsiella	152250	typical plasmid	No	
GCF_013791265.1-NZ_CP056832.1	Klebsiella	5733	typical plasmid	No	
GCF_013791265.1-NZ_CP056833.1	Klebsiella	3980	typical plasmid	No	
GCF_013792545.1-NZ_CP056854.1	Klebsiella	5126929	typical chromosome	No	
GCF_013792545.1-NZ_CP056855.1	Klebsiella	188591	typical plasmid	No	
GCF_013792545.1-NZ_CP056856.1	Klebsiella	115230	typical plasmid	No	
GCF_013792545.1-NZ_CP056857.1	Klebsiella	55736	typical plasmid	No	
GCF_013792545.1-NZ_CP056858.1	Klebsiella	53039	typical plasmid	No	
GCF_013792545.1-NZ_CP056859.1	Klebsiella	2330	typical plasmid	No	
GCF_013792545.1-NZ_CP056860.1	Klebsiella	1916	typical plasmid	No	
GCF_013796245.1-NZ_CP056878.1	Klebsiella	5253739	typical chromosome	No	
GCF_013796245.1-NZ_CP056879.1	Klebsiella	199477	typical plasmid	No	
GCF_013796245.1-NZ_CP056880.1	Klebsiella	107020	typical plasmid	No	
GCF_013796245.1-NZ_CP056881.1	Klebsiella	4512	typical plasmid	No	
GCF_013796245.1-NZ_CP056882.1	Klebsiella	3980	typical plasmid	No	
GCF_013796485.1-NZ_CP056883.1	Klebsiella	5252135	typical chromosome	No	
GCF_013796485.1-NZ_CP056884.1	Klebsiella	198658	typical plasmid	No	
GCF_013796485.1-NZ_CP056885.1	Klebsiella	107020	typical plasmid	No	
GCF_013796485.1-NZ_CP056886.1	Klebsiella	4512	typical plasmid	No	
GCF_013796485.1-NZ_CP056887.1	Klebsiella	3980	typical plasmid	No	
GCF_013805705.1-NZ_CP057034.1	Klebsiella	5183566	typical chromosome	No	
GCF_013805705.1-NZ_CP057035.1	Klebsiella	227199	typical plasmid	No	
GCF_013805705.1-NZ_CP057036.1	Klebsiella	86316	typical plasmid	No	
GCF_013805705.1-NZ_CP057037.1	Klebsiella	4671	typical plasmid	No	
GCF_013811445.1-NZ_CP057066.1	Klebsiella	5149748	typical chromosome	No	
GCF_013811445.1-NZ_CP057067.1	Klebsiella	242087	typical plasmid	No	
GCF_013811445.1-NZ_CP057068.1	Klebsiella	217189	typical plasmid	No	
GCF_013811845.1-NZ_CP057069.1	Klebsiella	5436820	typical chromosome	No	
GCF_013811845.1-NZ_CP057070.1	Klebsiella	4225	typical plasmid	No	
GCF_013811845.1-NZ_CP057071.1	Klebsiella	2475	typical plasmid	No	
GCF_013813035.1-NZ_CP057099.1	Klebsiella	5231429	typical chromosome	No	
GCF_013813035.1-NZ_CP057100.1	Klebsiella	140023	typical plasmid	No	
GCF_013826045.1-NZ_CP057313.1	Klebsiella	5146480	typical chromosome	No	
GCF_013826045.1-NZ_CP057314.1	Klebsiella	194082	typical plasmid	No	
GCF_013826045.1-NZ_CP057315.1	Klebsiella	147224	typical plasmid	No	
GCF_013826045.1-NZ_CP057316.1	Klebsiella	110717	typical plasmid	No	
GCF_013826045.1-NZ_CP057317.1	Klebsiella	53776	typical plasmid	No	
GCF_013826045.1-NZ_CP057318.1	Klebsiella	44303	typical plasmid	No	
GCF_013834745.1-NZ_CP057459.1	Klebsiella	5374831	typical chromosome	No	
GCF_013834745.1-NZ_CP057460.1	Klebsiella	256547	typical plasmid	No	
GCF_013834745.1-NZ_CP057461.1	Klebsiella	4671	typical plasmid	No	
GCF_013834745.1-NZ_CP057462.1	Klebsiella	3959	typical plasmid	No	
GCF_013895695.1-NZ_CP057722.1	Klebsiella	5134919	typical chromosome	No	
GCF_013895695.1-NZ_CP057723.1	Klebsiella	147522	typical plasmid	No	
GCF_013895695.1-NZ_CP057724.1	Klebsiella	48464	typical plasmid	No	
GCF_014041505.2-NZ_CP066534.1	Klebsiella	5464472	typical chromosome	No	
GCF_014041505.2-NZ_CP066537.1	Klebsiella	10060	typical plasmid	No	
GCF_014041505.2-NZ_CP066538.1	Klebsiella	5595	typical plasmid	No	
GCF_014041505.2-NZ_CP066536.1	Klebsiella	154728	typical plasmid	No	
GCF_014041505.2-NZ_CP066535.1	Klebsiella	192589	typical plasmid	No	
GCF_014041645.2-NZ_CP066528.1	Klebsiella	5381513	typical chromosome	No	
GCF_014041645.2-NZ_CP066531.1	Klebsiella	55161	typical plasmid	No	
GCF_014041645.2-NZ_CP066532.1	Klebsiella	11970	typical plasmid	No	
GCF_014041645.2-NZ_CP066529.1	Klebsiella	144228	typical plasmid	No	
GCF_014041645.2-NZ_CP066530.1	Klebsiella	223344	typical plasmid	No	
GCF_014041645.2-NZ_CP066533.1	Klebsiella	6373	typical plasmid	No	
GCF_014041735.2-NZ_CP066523.1	Klebsiella	5462788	typical chromosome	No	
GCF_014041735.2-NZ_CP066525.1	Klebsiella	206852	typical plasmid	No	
GCF_014041735.2-NZ_CP066526.1	Klebsiella	10060	typical plasmid	No	
GCF_014041735.2-NZ_CP066524.1	Klebsiella	149116	typical plasmid	No	
GCF_014041735.2-NZ_CP066527.1	Klebsiella	5596	typical plasmid	No	
GCF_014041845.2-NZ_CP066517.1	Klebsiella	5427937	typical chromosome	No	
GCF_014041845.2-NZ_CP066520.1	Klebsiella	55161	typical plasmid	No	
GCF_014041845.2-NZ_CP066521.1	Klebsiella	11970	typical plasmid	No	
GCF_014041845.2-NZ_CP066518.1	Klebsiella	149181	typical plasmid	No	
GCF_014041845.2-NZ_CP066519.1	Klebsiella	228076	typical plasmid	No	
GCF_014041845.2-NZ_CP066522.1	Klebsiella	5596	typical plasmid	No	
GCF_014162935.2-NZ_CP118405.1	Klebsiella	5311445	typical chromosome	No	
GCF_014162935.2-NZ_CP118406.1	Klebsiella	216722	typical plasmid	No	
GCF_014168575.1-NZ_AP021909.1	Klebsiella	5277404	typical chromosome	No	
GCF_014168575.1-NZ_AP021910.1	Klebsiella	139376	typical plasmid	No	
GCF_014168575.1-NZ_AP021911.1	Klebsiella	80272	typical plasmid	No	
GCF_014168575.1-NZ_AP021912.1	Klebsiella	4572	typical plasmid	No	
GCF_014168575.1-NZ_AP021913.1	Klebsiella	4163	typical plasmid	No	
GCF_014168655.1-NZ_AP021929.1	Klebsiella	5112458	typical chromosome	No	
GCF_014168655.1-NZ_AP021930.1	Klebsiella	140912	typical plasmid	No	
GCF_014168655.1-NZ_AP021931.1	Klebsiella	130287	typical plasmid	No	
